0dc4a41c16dcee4c5a7e0e967b0ff1be f8257f10197ce8ba5a7e0e967b0ff1be || 0dc4a41c16dcee4c5a7e0e967b0ff1be f8257f10197ce8ba5a7e0e967b0ff1be || 1 1
2259357efbc3848fed97864a61e8728f 2259357efbc3848fed97864a61e8728f || 2259357efbc3848fed97864a61e8728f 2259357efbc3848fed97864a61e8728f || 1 1
61fc1a1867de8bce78c03fab0ca4b2d5 e78385dfd3a6fc4f78c03fab0ca4b2d5 || 61fc1a1867de8bce78c03fab0ca4b2d5 e78385dfd3a6fc4f78c03fab0ca4b2d5 || 1 1
15a6b499b89686fc93487b7c7ff17238 f59c6afd6ef8045f93487b7c7ff17238 || 15a6b499b89686fc93487b7c7ff17238 f59c6afd6ef8045f93487b7c7ff17238 || 1 1
0bb6ac3be5ea99985b90ddb2e04ae8e8 f6cf1a473d34be305b90ddb2e04ae8e8 || 0bb6ac3be5ea99985b90ddb2e04ae8e8 f6cf1a473d34be305b90ddb2e04ae8e8 || 1 1
0e1913b40c63402cc562358bee61cbb8 fd2bac2267914d67c562358bee61cbb8 || 0e1913b40c63402cc562358bee61cbb8 fd2bac2267914d67c562358bee61cbb8 || 1 1
2637452ec617cf226bbcc6cb6d2fa260 e37f1ce59ea8e0826bbcc6cb6d2fa260 || 2637452ec617cf226bbcc6cb6d2fa260 e37f1ce59ea8e0826bbcc6cb6d2fa260 || 1 1
01be54d83bab7576d45d1f35c78eda82 01be54d83bab7576d45d1f35c78eda82 || 01be54d83bab7576d45d1f35c78eda82 01be54d83bab7576d45d1f35c78eda82 || 1 1
48470048fcb919c79552f41be17718d2 eb468098afac90259552f41be17718d2 || 48470048fcb919c79552f41be17718d2 eb468098afac90259552f41be17718d2 || 1 1
80e9776cca965f975e1b3572974bd5c2 14765d47564cddf05e1b3572974bd5c2 || 80e9776cca965f975e1b3572974bd5c2 14765d47564cddf05e1b3572974bd5c2 || 1 1
64b85123e68e839b0855611631486e98 fa2487803dbaceb70855611631486e98 || 64b85123e68e839b0855611631486e98 fa2487803dbaceb70855611631486e98 || 1 1
100957f1c443acc02e63135ec05e169a f291cca2858db3622e63135ec05e169a || 100957f1c443acc02e63135ec05e169a f291cca2858db3622e63135ec05e169a || 1 1
19c5424517efef309b34d1f6c687c3f4 fb1f59bc0107fed19b34d1f6c687c3f4 || 19c5424517efef309b34d1f6c687c3f4 fb1f59bc0107fed19b34d1f6c687c3f4 || 1 1
0d702692f3be3280e3138735b645b880 f3e6d1027119f840e3138735b645b880 || 0d702692f3be3280e3138735b645b880 f3e6d1027119f840e3138735b645b880 || 1 1
2b5ddb45b40c70b9fa8b64a08bb91921 faf79d229374f902fa8b64a08bb91921 || 2b5ddb45b40c70b9fa8b64a08bb91921 faf79d229374f902fa8b64a08bb91921 || 1 1
90d71e526584718ba991e3f8baeef870 0eeaf2103a2c2edea991e3f8baeef870 || 90d71e526584718ba991e3f8baeef870 0eeaf2103a2c2edea991e3f8baeef870 || 1 1
c9f749d3371b5b607dd4cd2166322a24 02db1037d712fbec7dd4cd2166322a24 || c9f749d3371b5b607dd4cd2166322a24 02db1037d712fbec7dd4cd2166322a24 || 1 1
