1 0 000 || xxx xxx || x
1 0 000 || 000 000 || 1
1 0 000 || 001 001 || 1
1 0 000 || 011 011 || 1
1 0 000 || 010 010 || 1
1 0 000 || 110 110 || 1
1 0 000 || 111 111 || 1
1 0 000 || 101 101 || 1
1 0 000 || 100 100 || 1
1 0 000 || 000 000 || 1
1 0 000 || 001 001 || 1
0 0 000 || 011 011 || 1
0 1 111 || 001 001 || 1
0 0 000 || 111 111 || 1
0 0 000 || 110 110 || 1
1 0 000 || 010 010 || 1
1 1 000 || 110 110 || 1
1 0 000 || 000 000 || 1
1 0 000 || 001 001 || 1
1 1 100 || 011 011 || 1
1 0 000 || 100 100 || 1
0 1 010 || 000 000 || 1
0 1 010 || 010 010 || 1
0 1 010 || 010 010 || 1
0 1 010 || 010 010 || 1
